Date,Open,High,Low,Close,Adj Close,Volume
2022-11-22,42467.3984375,42508.75,42347.1484375,42457.05078125,42456.55859375,216300
2022-11-23,42668.55078125,42860.55078125,42556.3984375,42729.1015625,42728.60546875,359100
2022-11-24,42838.3515625,43163.3984375,42769.6484375,43075.3984375,43074.8984375,204900
2022-11-25,43192.44921875,43339.1484375,42864.94921875,42983.94921875,42983.44921875,502800
2022-11-28,42757.19921875,43159.80078125,42740.0,43020.44921875,43019.94921875,238700
2022-11-29,42959.3984375,43279.6015625,42959.3984375,43053.44921875,43052.94921875,223000
2022-11-30,43122.75,43332.30078125,42880.05078125,43231.0,43230.49609375,202000
2022-12-01,43512.1015625,43515.05078125,43101.8515625,43260.6484375,43260.14453125,268400
2022-12-02,42976.69921875,43131.8984375,42937.80078125,43103.75,43103.25,212800
2022-12-05,43269.3515625,43372.1484375,42985.0,43332.94921875,43332.4453125,242600
2022-12-06,43093.8984375,43306.8515625,43076.3984375,43138.55078125,43138.05078125,379200
2022-12-07,43157.3515625,43327.3515625,42948.44921875,43098.69921875,43098.19921875,242900
2022-12-08,43142.25,43640.8984375,43095.30078125,43596.8515625,43596.34375,355700
2022-12-09,43765.30078125,43853.3984375,43361.69921875,43633.44921875,43632.94140625,443500
2022-12-12,43455.8515625,43767.05078125,43378.80078125,43708.75,43708.2421875,234200
2022-12-13,43793.69921875,43983.80078125,43767.75,43946.55078125,43946.0390625,277000
2022-12-14,44078.6015625,44151.80078125,43987.94921875,44049.1015625,44048.58984375,349200
2022-12-15,43940.1015625,44120.6015625,43379.1015625,43498.19921875,43497.6953125,421900
2022-12-16,43261.75,43598.19921875,43080.55078125,43219.5,43218.99609375,275200
2022-12-19,43346.3515625,43451.44921875,43110.30078125,43413.75,43413.24609375,175600
2022-12-20,43152.6484375,43426.19921875,42955.3984375,43359.5,43358.99609375,182300
2022-12-21,43525.75,43614.6484375,42363.80078125,42617.94921875,42617.453125,279400
2022-12-22,42864.0,42933.5,42231.3515625,42408.80078125,42408.30859375,344800
2022-12-23,41951.3515625,42226.6484375,41597.6484375,41668.05078125,41667.56640625,332600
2022-12-27,42827.75,42927.19921875,42394.1484375,42859.5,42859.0,229600
2022-12-28,42733.6015625,43034.94921875,42694.8515625,42827.69921875,42827.203125,230500
2022-12-29,42684.8984375,43498.05078125,42489.80078125,43252.3515625,43251.84765625,308300
2022-12-30,43401.69921875,43422.94921875,42833.1015625,42986.44921875,42985.94921875,258700
2023-01-02,43038.25,43382.75,42961.75,43203.1015625,43203.1015625,1798102100
2023-01-03,43151.44921875,43482.80078125,43148.44921875,43425.25,43425.25,197000
2023-01-04,43417.5,43578.3984375,42858.6484375,42958.80078125,42958.80078125,216800
2023-01-05,43073.05078125,43137.55078125,42298.6015625,42608.69921875,42608.69921875,189100
2023-01-06,42649.69921875,42685.8984375,41877.0,42188.80078125,42188.80078125,195100
2023-01-09,42404.8515625,42716.80078125,42186.55078125,42582.75,42582.75,161800
2023-01-10,42642.0,42674.25,41835.75,42014.75,42014.75,179300
2023-01-11,42071.8515625,42318.0,41729.0,42232.69921875,42232.69921875,169800
2023-01-12,42238.5,42343.5,41742.94921875,42082.25,42082.25,154100
2023-01-13,42171.25,42453.94921875,41885.6015625,42371.25,42371.25,205500
2023-01-16,42622.5,42715.6484375,42066.55078125,42167.55078125,42167.55078125,312300
2023-01-17,42241.19921875,42383.80078125,41861.1015625,42235.05078125,42235.05078125,256300
2023-01-18,42271.80078125,42555.8984375,42119.6484375,42458.0,42458.0,170500
2023-01-19,42416.30078125,42506.25,42234.8984375,42328.8515625,42328.8515625,143400
2023-01-20,42516.05078125,42709.19921875,42366.1484375,42506.80078125,42506.80078125,159100
2023-01-23,42891.44921875,43005.8515625,42727.69921875,42821.25,42821.25,203600
2023-01-24,42994.44921875,43078.8984375,42615.6484375,42733.44921875,42733.44921875,159500
2023-01-25,42703.6015625,42733.05078125,41540.30078125,41647.6484375,41647.6484375,244700
2023-01-27,41382.3515625,41417.8984375,40148.80078125,40345.30078125,40345.30078125,350800
2023-01-30,39856.1484375,40789.55078125,39419.80078125,40387.44921875,40387.44921875,369900
2023-01-31,40563.8515625,40811.6484375,40167.69921875,40655.05078125,40655.05078125,289900
2023-02-01,41115.0,42015.6484375,39490.5,40513.0,40513.0,400100
2023-02-02,39943.3515625,40757.6015625,39761.44921875,40669.30078125,40669.30078125,348500
2023-02-03,41019.3515625,41539.94921875,40609.75,41499.69921875,41499.69921875,308800
2023-02-06,41530.1484375,41724.5,41261.19921875,41374.6484375,41374.6484375,197800
2023-02-07,41513.1015625,41630.75,41095.1015625,41490.94921875,41490.94921875,171900
2023-02-08,41542.05078125,41791.94921875,41403.05078125,41537.6484375,41537.6484375,136500
2023-02-09,41634.0,41634.0,41252.94921875,41554.30078125,41554.30078125,142900
2023-02-10,41452.3984375,41678.8984375,41424.8984375,41559.3984375,41559.3984375,155000
2023-02-13,41563.5,41662.55078125,41157.8984375,41282.19921875,41282.19921875,147000
2023-02-14,41410.44921875,41718.0,41195.75,41648.3515625,41648.3515625,143100
2023-02-15,41674.6015625,41795.44921875,41455.6015625,41731.05078125,41731.05078125,116300
2023-02-16,41925.69921875,41979.1015625,41521.94921875,41631.3515625,41631.3515625,111700
2023-02-17,41514.0,41516.30078125,40882.69921875,41131.75,41131.75,138800
2023-02-20,41221.55078125,41292.6015625,40580.1015625,40701.69921875,40701.69921875,143700
2023-02-21,40784.8984375,40946.19921875,40508.25,40673.6015625,40673.6015625,170200
2023-02-22,40494.1484375,40529.25,39899.0,39995.8984375,39995.8984375,155200
2023-02-23,39983.69921875,40147.80078125,39600.25,40001.55078125,40001.55078125,200500
2023-02-24,40259.1015625,40348.1015625,39818.8984375,39909.3984375,39909.3984375,144600
2023-02-27,39820.3984375,40371.44921875,39745.3984375,40307.1015625,40307.1015625,165200
2023-02-28,40302.69921875,40391.44921875,40073.0,40269.05078125,40269.05078125,327800
2023-03-01,40473.8515625,40725.3515625,40341.94921875,40698.1484375,40698.1484375,169800
2023-03-02,40604.55078125,40773.25,40312.8984375,40389.80078125,40389.80078125,149200
2023-03-03,40671.3984375,41390.1484375,40605.3515625,41251.3515625,41251.3515625,213800
2023-03-06,41418.3984375,41671.19921875,41259.1484375,41350.3984375,41350.3984375,180200
2023-03-08,41178.3515625,41625.3515625,41100.3515625,41577.1015625,41577.1015625,157600
2023-03-09,41532.6484375,41659.0,41208.1015625,41256.75,41256.75,119200
2023-03-10,40805.25,40839.0,40341.69921875,40485.44921875,40485.44921875,145300
2023-03-13,40356.1015625,40690.05078125,39454.6015625,39564.69921875,39564.69921875,174500
2023-03-14,39522.3984375,39768.5,39132.6015625,39411.3984375,39411.3984375,205700
2023-03-15,39777.8984375,39914.1015625,38934.6484375,39051.5,39051.5,164300
2023-03-16,39061.69921875,39381.3984375,38613.1484375,39132.6015625,39132.6015625,196300
2023-03-17,39442.3984375,39705.1484375,38926.80078125,39598.1015625,39598.1015625,173400
2023-03-20,39512.1015625,39512.1015625,38941.8984375,39361.94921875,39361.94921875,173800
2023-03-21,39599.6484375,39970.8984375,39366.30078125,39894.69921875,39894.69921875,187900
2023-03-22,40036.0,40085.6015625,39837.80078125,39999.05078125,39999.05078125,0
2023-03-23,39836.1484375,40201.6015625,39552.5,39616.8984375,39616.8984375,153200
2023-03-24,39555.25,39767.8984375,39294.8984375,39395.3515625,39395.3515625,166100
2023-03-27,39484.69921875,39695.19921875,39273.75,39431.30078125,39431.30078125,194200
2023-03-28,39545.05078125,39645.19921875,39326.1015625,39567.8984375,39567.8984375,202300
2023-03-29,39611.55078125,40055.0,39609.55078125,39910.1484375,39910.1484375,259600
2023-03-31,40231.25,40690.3984375,40180.19921875,40608.6484375,40608.6484375,188000
2023-04-03,40695.80078125,40857.6015625,40535.8984375,40813.05078125,40813.05078125,167500
2023-04-05,40972.30078125,41071.1484375,40802.6484375,40999.1484375,40999.1484375,177400
2023-04-06,40940.69921875,41274.69921875,40820.55078125,41041.0,41041.0,196500
2023-04-10,41116.1484375,41139.8515625,40727.25,40834.6484375,40834.6484375,153900
2023-04-11,41232.0,41403.25,40990.19921875,41366.5,41366.5,219200
2023-04-12,41426.0,41610.1484375,41332.0,41557.94921875,41557.94921875,143000
2023-04-13,41680.1015625,42196.19921875,41502.6484375,42132.55078125,42132.55078125,232600
2023-04-17,42603.55078125,42603.55078125,41799.0,42262.55078125,42262.55078125,229100
2023-04-18,42406.94921875,42500.69921875,42114.3515625,42265.19921875,42265.19921875,214200
2023-04-19,42280.1015625,42339.8984375,42022.1484375,42154.0,42154.0,170000
2023-04-20,42218.5,42378.1484375,42108.8515625,42269.5,42269.5,180200
2023-04-21,42252.55078125,42382.1484375,41962.3515625,42118.0,42118.0,144100
2023-04-24,42469.94921875,42714.1484375,42269.1015625,42635.75,42635.75,201000
2023-04-25,42731.6015625,42865.55078125,42601.5,42678.5,42678.5,262400
2023-04-26,42559.05078125,42875.6015625,42432.25,42829.8984375,42829.8984375,178000
2023-04-27,42753.8984375,43043.3984375,42736.6015625,43000.8515625,43000.8515625,181400
2023-04-28,43045.5,43302.05078125,42810.3515625,43233.8984375,43233.8984375,238700
2023-05-02,43395.05078125,43483.8515625,43269.3984375,43352.1015625,43352.1015625,241600
2023-05-03,43154.8515625,43354.94921875,43078.1484375,43312.69921875,43312.69921875,175900
2023-05-04,43236.1015625,43739.80078125,43213.94921875,43685.44921875,43685.44921875,175400
2023-05-05,43110.6484375,43588.0,42582.19921875,42661.19921875,42661.19921875,251200
2023-05-08,42796.8515625,43418.55078125,42780.30078125,43284.0,43284.0,223400
2023-05-09,43438.55078125,43533.25,43125.8515625,43198.1484375,43198.1484375,229000
2023-05-10,43275.25,43383.6484375,42822.1484375,43331.05078125,43331.05078125,249100
2023-05-11,43535.1015625,43774.25,43367.25,43475.30078125,43475.30078125,190700
2023-05-12,43447.1484375,43905.94921875,43347.75,43793.55078125,43793.55078125,144900
2023-05-15,43821.05078125,44151.69921875,43666.6015625,44072.1015625,44072.1015625,161300
2023-05-16,44144.1484375,44144.1484375,43815.69921875,43903.69921875,43903.69921875,222500
2023-05-17,43948.5,43992.75,43446.3984375,43698.69921875,43698.69921875,203600
2023-05-18,44006.8984375,44079.19921875,43673.69921875,43752.30078125,43752.30078125,226500
2023-05-19,43930.0,44020.8984375,43531.8984375,43969.3984375,43969.3984375,192000
2023-05-22,43935.30078125,44026.75,43684.8984375,43885.1015625,43885.1015625,183800
2023-05-23,43978.8984375,44095.25,43852.19921875,43954.44921875,43954.44921875,142000
2023-05-24,43751.94921875,44010.44921875,43639.80078125,43677.8515625,43677.8515625,148600
2023-05-25,43630.25,43719.8515625,43390.30078125,43681.3984375,43681.3984375,170200
2023-05-26,43765.3515625,44067.6015625,43588.80078125,44018.0,44018.0,143200
2023-05-29,44276.80078125,44483.3515625,44193.94921875,44311.8984375,44311.8984375,148600
2023-05-30,44277.3515625,44498.6015625,44207.5,44436.3515625,44436.3515625,157600
2023-05-31,44318.0,44339.05078125,43822.69921875,44128.1484375,44128.1484375,305700
2023-06-01,44172.05078125,44179.94921875,43706.1484375,43790.19921875,43790.19921875,182900
2023-06-02,43997.30078125,44088.8984375,43812.55078125,43937.8515625,43937.8515625,0
